match_id,puuid,name,identifier,rarity,tier
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Irelia,1,0,1
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Vex,1,0,2
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Prime,1,1,2
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Akali,1,1,2
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Sett,1,1,1
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Ezreal,1,2,2
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Illaoi,1,4,1
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Irelia,1,0,2
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Vex,1,0,2
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Trundle,1,0,2
